date,open,high,low,close,volume
2024-09-19 22:00:00,2462.16,2475.3,2453.45,2472.8,3419.7185
2024-09-19 23:00:00,2472.38,2479.99,2462.84,2465.84,2883.6744
2024-09-20 00:00:00,2465.79,2467.96,2446.88,2448.31,4649.0245
2024-09-20 01:00:00,2448.11,2458.14,2437.49,2454.71,2433.1682
2024-09-20 02:00:00,2454.94,2459.09,2444.43,2456.16,1536.1978
2024-09-20 02:00:00,2454.94,2459.09,2444.43,2456.16,1536.1978
2024-09-20 03:00:00,2455.82,2522.3,2454.22,2521.05,7639.0434
2024-09-20 04:00:00,2520.56,2548.14,2516.79,2538.88,6045.2502
2024-09-20 05:00:00,2538.7,2557.25,2537.51,2543.8,2662.7956
2024-09-20 06:00:00,2544.08,2565.33,2537.65,2563.75,2181.3284
2024-09-20 07:00:00,2563.75,2573.26,2551.38,2561.76,5110.5289
2024-09-20 08:00:00,2561.63,2565.55,2538.44,2545.95,4854.9697
2024-09-20 09:00:00,2545.95,2553.74,2542.31,2543.36,1382.6931
2024-09-20 10:00:00,2543.41,2555.87,2540.92,2555.39,1490.7967
2024-09-20 11:00:00,2555.4,2555.56,2539.61,2545.01,1857.6566
2024-09-20 12:00:00,2544.99,2559.74,2543.62,2553.96,1885.013
2024-09-20 13:00:00,2554.21,2556.51,2522.71,2528.23,8963.9159
2024-09-20 14:00:00,2527.51,2569.54,2516.11,2546.35,8299.7532
2024-09-20 15:00:00,2546.16,2562.16,2523.72,2560.12,5472.0604
2024-09-20 16:00:00,2560.05,2569.24,2541.91,2547.23,4906.3223
2024-09-20 17:00:00,2547.49,2551.71,2530.77,2536.84,5660.2432
2024-09-20 18:00:00,2536.74,2546.53,2524.85,2542.95,5871.5557
2024-09-20 19:00:00,2542.74,2549.49,2539.87,2541.65,3484.8006
2024-09-20 20:00:00,2541.62,2547.63,2538.09,2540.94,2119.1331
2024-09-20 21:00:00,2540.81,2553.47,2539.94,2546.02,2580.9155
2024-09-20 22:00:00,2546.04,2555.7,2545.22,2551.09,1125.1622
2024-09-20 23:00:00,2551.26,2562.99,2545.46,2562.02,2886.4881
2024-09-21 00:00:00,2562.1,2588.64,2553.96,2568.55,9716.8625
2024-09-21 01:00:00,2568.58,2573.43,2542.06,2544.16,4972.4453
2024-09-21 02:00:00,2544.1,2549.05,2533.97,2542.4,2034.8993
2024-09-21 02:00:00,2544.1,2549.05,2533.97,2542.4,2034.8993
